date,start,end,hours,phase,hat,task,estimate_hours,blocked_hours,notes
2026-08-24,219:00,21:15,2.25,inception,project-manager,create repo + read chapter 1,1.50,0.00,underestimated .gitignore research
2026-08-26,20:00,22:00,3.00,inception,project-manager,create charter + drafted charter,3.00,0.00, time used to think over the purpose of the whole project
2026-08-27,17:00,18:30,1.50,inception,project-manager,created hour logging files,1.50,0.00,
2026-08-28,17:30,20:30,3.00,inception,project-manager,on-page quiz + drafted ai usage md,2.00,0.50,blocked 30m on institution GitHub SSO
2026-08-29,09:00,10:30,1.50,inception,release-engineer,clean-clone repo + drafted README + drafted hour log csv,1.00,0.00,worked first try
2026-09-01,09:00,10:30,3.00,inception,release-engineer, thought over potential candidates,1.00,0.00,
